x;y
12.425;26.9122
12.4085;26.923
12.3922;26.9451
12.3757;26.9671
12.3593;26.9891
12.343;27.0001
12.3267;27.0222
12.3023;27.0444
12.2862;27.0666
12.27;27.0779
12.2538;27.1001
12.2376;27.1224
12.2134;27.1338
12.1971;27.156
12.1809;27.1781
12.1645;27.2001
12.1483;27.2111
12.1319;27.233
12.1074;27.2551
12.0909;27.277
12.0745;27.2881
12.0581;27.3103
12.0415;27.3323
12.0251;27.3545
12.0087;27.3767
11.9841;27.3876
11.9678;27.4098
11.9514;27.4319
11.935;27.4541
11.9188;27.4764
11.9024;27.4875
11.878;27.5098
11.8617;27.5321
11.8454;27.5543
11.8292;27.5765
11.8128;27.5874
11.7884;27.6096
11.7721;27.6318
11.7558;27.6539
11.7392;27.6646
11.7227;27.6867
11.7063;27.7086
11.6819;27.7308
11.6656;27.7418
11.6494;27.7639
11.6334;27.7862
11.6171;27.8082
11.6009;27.8302
11.5846;27.8412
11.56;27.8631
11.5438;27.8852
11.5275;27.9073
11.511;27.9181
11.4943;27.9398
11.4696;27.9617
11.4532;27.9837
11.4366;28.0058
11.4202;28.0168
11.4039;28.0391
11.3875;28.0611
11.363;28.0833
11.3467;28.1055
11.3302;28.1275
11.3138;28.1385
11.2975;28.1607
11.2731;28.183
11.2569;28.2052
11.2405;28.2272
11.2242;28.2382
11.2079;28.2603
11.1836;28.2826
11.1674;28.3048
11.1511;28.327
11.1266;28.3491
11.1103;28.3713
11.094;28.3935
11.0695;28.4046
11.053;28.4265
11.0368;28.4486
11.0204;28.4706
10.996;28.4928
10.9797;28.515
10.9635;28.5373
10.939;28.5595
10.9227;28.5818
10.8981;28.6038
10.8817;28.6258
10.8652;28.6479
10.8408;28.67
10.8244;28.692
10.7999;28.7141
10.7835;28.7363
10.767;28.7583
10.7426;28.7805
10.7264;28.8026
10.702;28.8248
10.6857;28.8469
10.6614;28.8692
10.6452;28.8914
10.6206;28.9136
10.6044;28.9359
10.5799;28.9581
10.5635;28.9802
10.5389;29.0023
10.5222;29.0242
10.4973;29.046
10.4807;29.0679
10.4562;29.0899
10.4398;29.1119
